VehicleID,Split,FuelTime,FuelLevel,DeltaFuel,AbsDeltaFuel,RollingStd12,Speed,GpsSpeedKmh,flat_jitter_threshold,spike_threshold,event_threshold,Label,future3_median,prev_fuel,Label_Legacy
Car 1,train,2026-04-01 10:20:45.000001,156.9,84.80000000000001,84.80000000000001,23.14195324513469,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,220.1,72.1,REFUEL
Car 1,train,2026-04-09 13:55:44.000003,107.1,30.69999999999999,30.69999999999999,8.02245113554593,0.0,7.194172566983566,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,299.7,76.4,REFUEL
Car 1,train,2026-04-12 13:40:50.999998,173.2,68.6,68.6,18.20949080989239,0.0,0.8871287437936516,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,306.8,104.6,REFUEL
Car 1,train,2026-04-15 07:10:51.000001,240.5,103.1,103.1,27.899177357445904,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,286.1,137.4,REFUEL
Car 1,train,2026-04-19 15:05:11.999999,167.3,81.50000000000001,81.50000000000001,22.306737895881497,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,239.6,85.8,REFUEL
Car 1,train,2026-04-22 07:05:25.999999,151.9,78.4,78.4,21.165871048039158,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,225.9,73.5,REFUEL
Car 1,train,2026-04-28 16:20:02,115.8,17.599999999999994,17.599999999999994,4.659816400770408,0.0,0.8245445174046775,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,251.4,98.2,REFUEL
Car 1,train,2026-05-21 10:05:13.000004,245.0,142.6,142.6,38.13822448235715,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,304.3,102.4,REFUEL
Car 1,train,2026-05-25 09:30:13,157.5,55.8,55.8,15.490398011528159,0.0,0.3439568617231581,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,300.2,101.7,REFUEL
Car 1,train,2026-06-03 08:10:13.999999,145.7,21.69999999999999,21.69999999999999,5.903265339341154,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,322.4,124.0,REFUEL
Car 1,train,2026-06-12 11:35:43.999996,245.3,131.9,131.9,35.77325486853117,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,310.0,113.4,REFUEL
Car 1,train,2026-06-13 11:35:04.000001,260.1,11.400000000000034,11.400000000000034,4.231101774032655,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,251.8,248.7,REFUEL
Car 1,train,2026-06-17 12:55:45.000002,113.5,31.5,31.5,8.075111798331683,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,95.4,82.0,REFUEL
Car 1,train,2026-06-18 06:20:43.000002,139.8,60.000000000000014,60.000000000000014,16.56887141600176,0.0,1.5285223224863935,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,277.3,79.8,REFUEL
Car 1,train,2026-06-20 09:00:14.999999,200.3,14.200000000000017,14.200000000000017,4.452901675686692,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,181.9,186.1,REFUEL
Car 1,train,2026-06-20 09:25:14.999998,188.9,12.200000000000017,12.200000000000017,10.383597508677918,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,199.0,176.7,REFUEL
Car 1,train,2026-06-22 16:15:14.999996,104.3,18.200000000000003,18.200000000000003,4.672161943064712,0.0,0.6013201090467823,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,280.9,86.1,REFUEL
Car 1,train,2026-06-30 06:10:02.000001,100.9,13.100000000000009,13.100000000000009,3.2764627776511275,0.0,7.209955961786212,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,287.1,87.8,REFUEL
Car 1,train,2026-07-03 12:05:02.000003,219.8,12.900000000000006,12.900000000000006,6.197731439809249,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,213.4,206.9,REFUEL
Car 1,train,2026-07-11 15:00:02.999998,208.8,105.4,105.4,28.587617511782966,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,290.5,103.4,REFUEL
Car 1,train,2026-07-13 10:35:51,186.0,11.900000000000006,11.900000000000006,6.060505112795654,0.0,0.0,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,179.2,174.1,REFUEL
Car 1,train,2026-07-22 08:20:14.000004,109.3,41.89999999999999,41.89999999999999,11.642889460954269,0.0,15.926759051081925,0.9573,3.8292,11.168500000000002,UPWARD_SHIFT,149.2,67.4,REFUEL
Car 2,train,2025-11-22 07:30:08.000001,81.1,56.3,56.3,14.690718914410628,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,193.7,24.8,REFUEL
Car 2,train,2025-11-22 07:35:07.999998,158.4,77.30000000000001,77.30000000000001,37.620037509580214,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,194.7,81.1,REFUEL
Car 2,train,2025-11-26 07:30:05.999996,82.7,43.7,43.7,11.385248740756124,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,194.7,39.0,REFUEL
Car 2,train,2025-11-28 08:55:05.999998,113.7,53.7,53.7,14.607501402437798,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,187.9,60.0,REFUEL
Car 2,train,2025-12-01 10:10:09.000002,71.0,7.5,7.5,1.998263134713633,0.0,0.5785294670948818,1.0,2.2992,6.706,UPWARD_SHIFT,193.7,63.5,REFUEL
Car 2,train,2025-12-03 15:10:14.000001,78.5,59.4,59.4,15.039584343399328,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,193.2,19.1,REFUEL
Car 2,train,2025-12-03 15:15:14,146.5,68.0,68.0,35.250968268813395,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,193.2,78.5,REFUEL
Car 2,train,2025-12-10 17:50:04.000004,134.2,66.69999999999999,66.69999999999999,18.33935317834301,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,190.0,67.5,REFUEL
Car 2,train,2025-12-12 07:05:00.000001,133.2,64.69999999999999,64.69999999999999,16.90497132667061,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,188.9,68.5,REFUEL
Car 2,train,2025-12-15 09:24:59.999999,92.4,39.400000000000006,39.400000000000006,10.82190101907547,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,189.5,53.0,REFUEL
Car 2,train,2025-12-15 09:29:59.999997,161.1,68.69999999999999,68.69999999999999,30.77787241762425,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,189.5,92.4,REFUEL
Car 2,train,2025-12-17 08:35:01.000003,152.4,88.9,88.9,24.38415924780312,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,187.9,63.5,REFUEL
Car 2,train,2025-12-19 16:25:08.999996,65.5,20.6,20.6,5.408551613468763,0.0,0.3093442043697258,1.0,2.2992,6.706,UPWARD_SHIFT,188.9,44.9,REFUEL
Car 2,train,2025-12-19 16:30:09.000003,129.5,64.0,64.0,23.22573405131089,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,190.5,65.5,REFUEL
Car 2,train,2025-12-24 09:20:09.000004,91.9,33.00000000000001,33.00000000000001,8.900842656737622,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,187.4,58.9,REFUEL
Car 2,train,2025-12-26 09:20:00.000001,103.7,45.900000000000006,45.900000000000006,12.686089823109405,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,188.9,57.8,REFUEL
Car 2,train,2026-01-02 16:45:07.000001,69.5,24.6,24.6,6.335460169202831,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,168.1,44.9,REFUEL
Car 2,train,2026-01-02 16:50:06.999999,140.5,71.0,71.0,26.024054044074088,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,168.1,69.5,REFUEL
Car 2,train,2026-01-06 14:50:04.999998,90.3,33.0,33.0,8.612825546177566,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,152.4,57.3,REFUEL
Car 2,train,2026-01-11 07:25:08.000003,69.0,26.299999999999997,26.299999999999997,7.210062413044702,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,189.5,42.7,REFUEL
Car 2,train,2026-01-15 16:40:07.999997,91.9,18.900000000000006,18.900000000000006,4.647662196081908,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,185.3,73.0,REFUEL
Car 2,train,2026-01-19 07:35:01.000001,80.5,50.0,50.0,13.378984349427359,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,185.3,30.5,REFUEL
Car 2,train,2026-01-19 07:40:00.999998,144.9,64.4,64.4,32.78977122857405,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,186.8,80.5,REFUEL
Car 2,train,2026-01-23 16:05:08.000001,156.2,76.19999999999999,76.19999999999999,20.103648093484587,0.0,0.28989621267999344,1.0,2.2992,6.706,UPWARD_SHIFT,187.9,80.0,REFUEL
Car 2,train,2026-01-28 09:00:09.000003,97.8,41.0,41.0,11.095331851228647,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,188.4,56.8,REFUEL
Car 2,train,2026-01-28 09:05:09.000001,157.8,60.000000000000014,60.000000000000014,28.88413996757852,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,188.4,97.8,REFUEL
Car 2,train,2026-01-30 08:55:03,117.9,72.5,72.5,20.9094127527931,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,190.0,45.4,REFUEL
Car 2,train,2026-02-01 17:00:03.999997,143.8,34.900000000000006,34.900000000000006,9.528681120117776,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,188.4,108.9,REFUEL
Car 2,train,2026-02-05 09:10:07.999997,121.6,47.099999999999994,47.099999999999994,12.85498984398233,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,184.7,74.5,REFUEL
Car 2,train,2026-02-08 15:15:01.999999,55.1,29.400000000000002,29.400000000000002,7.737943130373142,0.0,0.0,1.0,2.2992,6.706,UPWARD_SHIFT,178.9,25.7,REFUEL
